Step,SOWE,RNN,CNN
1,16.626760482788086,16.634244918823242,16.632232666015625
11,16.191587448120117,16.277482986450195,16.142362594604492
21,15.979409217834473,16.067340850830078,16.013063430786133
31,15.727360725402832,15.96237850189209,15.910632133483887
41,15.414677619934082,15.898897171020508,15.785595893859863
51,15.151440620422363,15.846264839172363,15.549355506896973
61,14.949949264526367,15.778852462768555,15.26626968383789
71,14.787153244018555,15.660486221313477,14.953893661499023
81,14.651423454284668,15.504439353942871,14.746537208557129
91,14.537643432617188,15.335902214050293,14.62061595916748
101,14.444397926330566,15.232353210449219,14.526341438293457
111,14.36769962310791,15.138847351074219,14.456409454345703
121,14.30401611328125,14.978761672973633,14.383727073669434
131,14.25196647644043,14.850066184997559,14.286377906799316
141,14.208030700683594,14.722122192382812,14.194252014160156
151,14.170465469360352,14.597519874572754,14.12865161895752
161,14.138229370117188,14.476372718811035,14.081581115722656
171,14.109772682189941,14.378850936889648,14.050695419311523
181,14.084073066711426,14.314695358276367,14.015922546386719
191,14.061688423156738,14.265402793884277,13.998509407043457
201,14.041412353515625,14.231221199035645,13.975168228149414
211,14.022189140319824,14.201632499694824,
221,14.00518798828125,14.177830696105957,
231,13.989571571350098,14.157951354980469,
241,13.974641799926758,14.142236709594727,
251,13.961857795715332,14.127525329589844,
261,13.94906997680664,14.119475364685059,
271,13.937003135681152,,
281,13.925516128540039,,
291,13.91477108001709,,
301,13.905325889587402,,
311,13.89555835723877,,
321,13.886460304260254,,
331,13.87823486328125,,
341,13.870341300964355,,
351,13.862321853637695,,
361,13.855514526367188,,
371,13.847973823547363,,
381,13.841383934020996,,
391,13.835189819335938,,
401,13.829021453857422,,
411,13.823023796081543,,
421,13.81775951385498,,
431,13.81140422821045,,
441,13.806924819946289,,
451,13.801281929016113,,
461,13.795687675476074,,
471,13.791671752929688,,
481,13.787384986877441,,
491,13.782356262207031,,
501,13.778966903686523,,
511,13.773893356323242,,